file,source,width,height,placement,alt,notes,face_policy
01-hero-desktop-4x5.webp,20251225_104251(3).jpg,1600,2000,"Главная: первый экран, desktop",Александр Аликин в тёмно-синем пиджаке и светло-голубой рубашке,Основной официальный портрет; лицо не изменялось.,Только кадрирование и цветокоррекция; лицо не генерировалось и не менялось.
02-hero-mobile-4x5.webp,20251225_104251(3).jpg,1200,1500,"Главная: первый экран, mobile",Портрет Александра Аликина в деловой одежде,Более плотный мобильный кадр; лицо не изменялось.,Только кадрирование и цветокоррекция; лицо не генерировалось и не менялось.
03-press-square-1x1.webp,20251225_104251(3).jpg,1200,1200,"Для СМИ, профиль автора, социальные профили",Официальный портрет Александра Аликина,Квадратный пресс-портрет; лицо не изменялось.,Только кадрирование и цветокоррекция; лицо не генерировалось и не менялось.
04-about-portrait-4x5.webp,20251218_190009(5).jpg,1200,1500,"Страница «Обо мне», блок автора",Александр Аликин в чёрном свитере в светлом рабочем пространстве,Более личный и открытый образ; кадр обрезан выше зоны с заметными ворсинками.,Только кадрирование и цветокоррекция; лицо не генерировалось и не менялось.
05-author-avatar-1x1.webp,20251218_192735(2).jpg,800,800,Аватар автора у статей и коротких материалов,Портрет Александра Аликина вполоборота,Редакционный аватар; лицо не изменялось.,Только кадрирование и цветокоррекция; лицо не генерировалось и не менялось.
06-business-portrait-4x5.webp,20251225_085404.jpg,1200,1500,"Страница «Бизнесу», сотрудничество, кейсы",Александр Аликин в светло-голубой рубашке в рабочем интерьере,Деловой портрет без искусственной замены одежды или лица.,Только кадрирование и цветокоррекция; лицо не генерировалось и не менялось.
07-education-robotics-square.webp,2alena_tsizman167.jpg,1000,1000,"Страница «Образованию», Лига роботов, исторический блок",Александр Аликин на фоне площадки Лиги роботов,Аутентичная фотография проекта; умеренное увеличение исходника.,Только кадрирование и цветокоррекция; лицо не генерировалось и не менялось.
08-robotics-archive-4x3.webp,20200524_012109.jpg,1600,1200,История инженерного образования и робототехники,Александр Аликин на мероприятии по робототехнике,Архивный материал; фон и лицо сохранены.,Только кадрирование и цветокоррекция; лицо не генерировалось и не менялось.
09-personal-cafe-16x9.webp,AaHGrI4zNk4.jpg,1600,900,"Истории, личный раздел, редакционные материалы",Александр Аликин с чашкой в кафе,Живой неформальный кадр; без генеративных изменений.,Только кадрирование и цветокоррекция; лицо не генерировалось и не менялось.
10-laser-love-archive-4x3.webp,20250403_174936.jpg,1600,1200,"Проект Laser Love, предпринимательская ретроспектива",Александр Аликин у входа в проект Laser Love,Селфи зеркально отражено для читаемости вывески; лицо не синтезировалось.,Только кадрирование и цветокоррекция; лицо не генерировалось и не менялось.
